posted_by,under_construction,rera_approved,no_of_rooms,property_type,area_sqft,ready_to_move,resale,lon,lat,city,price_lacs
Owner,0,0,2,BHK,1300.236407,1,1,12.96991,77.59796,Bangalore,55.0
Dealer,0,0,2,BHK,1275.0,1,1,12.274538,76.644605,Mysore,51.0
Owner,0,0,2,BHK,933.1597222,1,1,12.778033,77.632191,Bangalore,43.0
Owner,0,1,2,BHK,929.9211427,1,1,28.6423,77.3445,Ghaziabad,62.5
Dealer,1,0,2,BHK,999.009247,0,1,22.5922,88.484911,Kolkata,60.5
Owner,0,0,3,BHK,1250.0,1,1,10.03328,76.28257099999999,Kochi,42.0
Dealer,0,0,3,BHK,1495.053957,1,1,26.916347,75.7956,Jaipur,66.5
Owner,0,1,3,BHK,1181.012946,1,1,30.74,76.65,Mohali,52.0
Dealer,0,1,2,BHK,1040.0,1,1,13.054202,77.674002,Bangalore,41.6
Owner,0,1,2,BHK,879.1208791000001,1,1,12.95161,80.14097,Chennai,36.0
Owner,0,0,3,BHK,1350.308642,1,1,26.724219,88.326357,Siliguri,35.0
Dealer,0,0,2,BHK,1333.010179,1,1,13.04034,77.591347,Bangalore,110.0
Owner,0,0,2,BHK,927.1779023,1,1,12.96991,77.59796,Bangalore,48.0
Owner,0,1,2,BHK,1122.1719460000002,1,1,28.587711,77.403123,Noida,62.0
Owner,0,0,1,BHK,649.9837504,1,1,13.0352,77.5772,Raigad,20.0
Dealer,1,1,3,BHK,1394.117647,0,1,28.429614,77.481711,Noida,71.1
Owner,0,0,3,BHK,1800.08471,1,1,20.275267000000003,85.86240699999999,Bhubaneswar,85.0
Dealer,1,1,3,BHK,2124.896706,0,1,12.8855,77.5638,Bangalore,180.0
Owner,0,0,2,BHK,1100.0,1,1,21.15389,79.08306,Wardha,22.0
Dealer,0,1,3,BHK,2178.649237,1,1,13.092356,77.61346800000001,Bangalore,120.0
Owner,0,0,2,BHK,881.1435285,1,1,13.05,80.11,Chennai,45.0
Dealer,0,0,2,BHK,944.8818898,1,1,18.452663,73.93104,Pune,42.0
Dealer,0,1,3,BHK,1310.147689,1,1,28.5041,77.381557,Noida,55.0
Dealer,0,0,1,BHK,630.00063,1,1,19.05444,72.84056,Mumbai,300.0
Dealer,0,0,2,BHK,1219.80971,1,1,21.105779,79.078497,Nagpur,50.0
Owner,0,0,2,BHK,780.141844,1,1,22.54111,88.33778000000001,Kolkata,27.5
Owner,0,0,3,BHK,1600.0,1,1,28.63601,77.433724,Ghaziabad,46.0
Dealer,0,0,2,BHK,1180.412371,1,1,30.712867,76.648557,Mohali,22.9
Owner,1,0,2,BHK,1000.0,0,1,24.48,86.7,Deoghar,39.0
Dealer,0,0,2,BHK,1000.0,1,1,28.2102,76.8606,Bhiwadi,12.5
Dealer,0,0,3,BHK,1400.107701,1,1,28.40473,77.367514,Faridabad,52.0
Dealer,0,1,2,BHK,943.1266076,1,1,28.5041,77.381557,Noida,33.0
Owner,0,0,2,BHK,1150.146382,1,1,26.586306,74.873234,Jaipur,55.0
Dealer,1,1,1,BHK,864.0674393999999,0,1,19.18,72.96333,Lalitpur,82.0
Dealer,0,1,2,BHK,857.7861968000001,1,0,19.1759,72.9522,Maharashtra,240.0
Owner,0,0,3,BHK,1174.210077,1,1,12.852171,80.216826,Chennai,55.0
Dealer,1,1,2,BHK,1020.087884,0,1,18.5993,73.7625,Pune,65.0
Owner,0,0,4,BHK,1650.165017,1,1,22.312063,72.674296,Vadodara,65.0
Dealer,1,0,2,BHK,1000.0,0,1,17.815234,83.35818,Visakhapatnam,35.0
Owner,0,0,3,BHK,1300.052002,1,1,12.894088,77.548914,Bangalore,75.0
Dealer,1,1,1,BHK,40606.19568,0,0,24.69028,78.41889,Lalitpur,9110.0
Dealer,0,1,2,BHK,1058.114928,1,1,18.539812,73.737678,Pune,65.0
Dealer,1,0,1,BHK,400.0,0,1,18.5438,73.9438,Pune,30.0
Dealer,0,1,3,BHK,1274.924779,1,1,22.803593,83.755013,Mumbai,250.0
Dealer,0,0,2,BHK,1026.694045,1,1,19.014858,72.8662,Lalitpur,220.0
Owner,0,0,2,BHK,1150.121065,1,1,20.366670000000003,72.9,Vapi,38.0
Owner,0,0,3,BHK,1200.0,1,1,28.460928000000003,77.03939100000001,Ghaziabad,60.0
Dealer,0,0,1,RK,475.0103263,1,1,24.69028,78.41889,Lalitpur,46.0
Builder,1,1,1,BHK,301.91711630000003,0,0,24.69028,78.41889,Lalitpur,26.3
Dealer,1,1,2,BHK,1228.571429,0,1,12.843852,74.845271,Mangalore,51.6
Owner,0,0,2,BHK,986.0164934,1,1,13.077175,80.151453,Chennai,55.0
Dealer,1,1,3,BHK,1972.565158,0,1,28.431862,77.351104,Faridabad,71.9
Dealer,1,1,1,BHK,420.6166888,0,1,19.048403,72.88731,Lalitpur,130.0
Owner,0,0,3,BHK,1275.009808,1,1,25.232239,71.392013,Siliguri,32.5
Dealer,1,1,1,BHK,406.024219,0,0,19.245347,73.124577,Maharashtra,39.9
Dealer,0,0,3,BHK,1862.562189,1,1,28.431862,77.351104,Faridabad,59.9
Owner,0,0,2,BHK,950.0146156,1,1,19.88879,75.34344,Aurangabad,65.0
Owner,0,1,4,BHK,5200.945626,1,1,28.567633,77.383124,Noida,110.0
Dealer,0,0,2,BHK,1049.969344,1,1,12.985039,77.54383,Bangalore,68.5
Dealer,0,0,3,BHK,1615.008157,1,1,22.589694,88.372957,Kolkata,99.0
Dealer,0,0,3,BHK,1150.0069,1,1,19.014858,72.8662,Lalitpur,250.0
Owner,0,0,2,BHK,1100.0,1,1,26.955346,75.73479300000001,Jaipur,27.5
Dealer,1,1,2,BHK,906.2661833,0,0,24.69028,78.41889,Lalitpur,70.0
Owner,0,0,3,BHK,1454.333915,1,1,10.77,76.38,Ottapalam,50.0
Owner,0,0,3,BHK,1591.994542,1,1,28.506454,77.40956800000001,Noida,70.0
Dealer,0,1,2,BHK,573.8769151,1,1,28.406388,77.342588,Faridabad,22.1
Dealer,0,1,3,BHK,1038.883942,1,1,19.12,72.91,Mumbai,280.0
Owner,0,0,3,BHK,1538.141758,1,1,13.11389,77.59833,Bangalore,74.0
Owner,0,0,2,BHK,5000.0,1,1,26.850391,75.814198,Jaipur,85.0
Dealer,0,0,3,BHK,1602.084012,1,1,28.368269,77.37273,Faridabad,49.2
Owner,0,0,2,BHK,1200.0,1,1,16.51667,80.61667,Vijayawada,45.0
Owner,0,0,2,BHK,760.0709400000001,1,1,15.86667,74.5,Belgaum,60.0
Owner,1,0,2,BHK,739.8273736000001,0,1,23.25,77.41667,Bhopal,30.0
Owner,0,0,2,BHK,1260.02291,1,1,13.0915,74.7844,Mangalore,33.0
Owner,0,0,2,BHK,1100.151745,1,1,21.093676,79.111965,Nagpur,29.0
Dealer,0,1,3,BHK,2293.077091,1,1,18.5438,73.9438,Pune,210.0
Dealer,0,0,2,BHK,1146.480331,1,1,19.216097,72.821721,Lalitpur,88.6
Dealer,0,1,4,BHK,2224.059764,1,1,19.1615,72.8731,Lalitpur,780.0
Dealer,0,0,2,BHK,759.8784195000001,1,1,22.452032,88.298947,Kolkata,30.0
Owner,0,0,4,BHK,2260.251857,1,1,12.9506,77.5952,Bangalore,140.0
Dealer,0,0,3,BHK,767.0182167,1,1,20.742166,80.104602,Maharashtra,240.0
Owner,0,0,4,BHK,2500.0,1,1,28.66667,77.41667,Ghaziabad,160.0
Dealer,1,1,4,BHK,2286.236854,0,1,21.0,77.0,Lucknow,100.0
Owner,0,1,2,BHK,1150.086256,1,1,28.577673,77.389781,Noida,60.0
Dealer,0,1,2,BHK,1004.932182,1,1,18.966114,73.148278,Mumbai,81.5
Owner,0,0,2,BHK,800.0,1,1,22.56972,88.36972,Kolkata,34.0
Dealer,1,0,3,BHK,993.75,0,1,26.706157,88.439748,Siliguri,31.8
Dealer,0,0,2,BHK,1298.139334,1,1,23.169982,77.477889,Bhopal,30.0
Dealer,0,1,2,BHK,996.797438,1,1,26.900926,75.775927,Ghaziabad,24.9
Owner,0,0,2,BHK,985.0194952,1,1,12.98556,77.66389000000001,Bangalore,48.0
Dealer,0,0,3,BHK,1118.75,1,1,12.91716,80.19287,Chennai,53.7
Dealer,0,1,2,BHK,889.8305085000001,1,1,28.506454,77.40956800000001,Noida,42.0
Owner,0,0,3,BHK,2738.22563,1,1,12.863421,77.652405,Bangalore,150.0
Dealer,1,1,4,BHK,1725.4901960000002,0,0,19.049513,72.91920400000001,Maharashtra,440.0
Dealer,1,1,3,BHK,2488.004265,0,1,30.654128000000004,76.732427,Mohali,140.0
Dealer,0,0,3,BHK,1200.082764,1,1,23.207157,88.404471,Kolkata,58.0
Dealer,0,0,2,BHK,1584.283904,1,1,26.459137,79.506922,Kanpur,100.0
Owner,0,0,2,BHK,900.0,1,1,23.2257,72.51679,Gandhinagar,18.0
Dealer,0,1,2,BHK,1193.440032,1,1,18.441256,74.647361,Pune,60.4
Owner,0,0,2,BHK,1487.357462,1,1,26.8626,75.7633,Jaipur,30.0
Owner,1,1,2,BHK,989.9029895,0,1,28.5035,77.426447,Noida,50.0
Dealer,0,0,2,BHK,1155.020213,1,1,19.147866,72.932609,Maharashtra,140.0
Owner,0,0,2,BHK,949.893137,1,1,11.93,79.83,Pondicherry,80.0
Owner,0,0,2,BHK,875.0,1,1,28.560719,77.386208,Noida,49.0
Dealer,0,0,2,BHK,853.3611982000001,1,1,12.96991,77.59796,Bangalore,24.5
Owner,0,0,1,BHK,483.0917874,1,1,18.4543,73.1147,Raigad,18.0
Dealer,0,0,2,BHK,800.0,1,1,19.18,72.96333,Maharashtra,95.0
Owner,0,0,2,BHK,802.0415602999999,1,1,28.66667,77.41667,Ghaziabad,22.0
Dealer,0,1,2,BHK,610.0660905,1,1,13.069866,80.19842299999999,Chennai,48.0
